"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","","18","hosatuOctober2012","ನವಕರ್ನಾಟಕ ಪಬ್ಲಿಕೇಷನ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಹೊಸತು ಸಂಚಯ,magazine","ಹೊಸತು ಅಕ್ಟೋಬರ್ ೨೦೧೨","2012"
"","ಬಿ.ಜಯಶ್ರೀ ಬಾಳಿಗಾ","10","kudpishrinivassh0000bjay","Karnataka Konkany Sahitya Academy","","ಶ್ರೀ ಕುಡ್ಪಿ ಶ್ರೀನಿವಾಸ ಶೆಣೈ","2003"
"","Om Prakash","17","kalajopujari0000ompr","","","Kala Jo Pujari",""
"","Epifanio Valadares","11","kallzachekholaye0000epif","Happyfun Prakashan","","Kallzache Kholayek Thaun","2012"
"","","7","kanyanghos0000unse","Konkan Janata Prakashan","","Kanyan Ghos",""
"","","3","indianjournalofp0000unse_i4w4","Indian National Science Academy","","Indian Journal Of Pure & Applied Mathematics Vol - 18/3, March-1987","1987"
"","K. Venkatachaliengar","9","irreduciblerepre0000kven","","","The Irreducible Representation Of The Lie-Algebra Of The Orthogonal Group With Spin 3/2","1954"
"","","3","jaagmarch19910000unse","","","JAAG MARCH 1991",""
"","ಆರ್ಗೋಡು ಸುರೇಶ ಶೆಣೈ","11","konkanijokes0000argo","Saraswati Prabha","","ಕೊಂಕಣಿ ಜೋಕ್ಸ್","2010"
"","","2","konkanitimesjanf0000unse","","","KONKANI TIMES-JAN-FEB-MAR-1987",""
"","","3","konkanitimesjanm0000unse","","","KONKANI TIMES-JAN-MAR -1990",""
